evals,gbest,gen,invalid,max,mean,min,std
2250,0.69759,44,0,0.69845,0.6976571428571428,0.6976,0.000121336099243354
2300,0.69759,45,0,0.69783,0.6976397959183672,0.69759,4.8968536167217533e-05
2350,0.69759,46,0,0.6982,0.697653,0.69759,9.139474820798838e-05
2400,0.69759,47,0,0.69794,0.697644,0.6976,6.46219776856158e-05
2450,0.69759,48,0,0.6978,0.6976412244897959,0.69759,4.8513943001531145e-05
2500,0.69759,49,0,0.69787,0.6976308333333335,0.69759,5.143091374736527e-05
2550,0.69759,50,0,0.71715,0.6981571999999998,0.69759,0.002863726271835346
2600,0.69759,51,0,0.71821,0.6980546938775509,0.6976,0.002909764070694632
2650,0.69759,52,0,0.6987,0.6976536734693877,0.69759,0.00015695695338051611
2700,0.69759,53,0,0.69782,0.6976416326530611,0.69759,4.58189399736495e-05
2750,0.69759,54,0,0.70282,0.6977589999999999,0.6976,0.0007276489538232029
2800,0.69759,55,0,0.70119,0.6977582000000001,0.6976,0.0005651926751117667
2850,0.69759,56,0,0.69792,0.6976518367346938,0.6976,7.781908557117503e-05
2900,0.69759,57,0,0.69946,0.6976885714285714,0.6976,0.0002785750915510097
2950,0.69759,58,0,0.69794,0.6976391666666665,0.69759,6.146927868637457e-05
3000,0.69759,59,0,0.69796,0.6976402083333332,0.69759,6.796106677519443e-05
3050,0.69759,60,0,0.69891,0.6976666,0.6976,0.000189141322825031
3100,0.69759,61,0,0.69787,0.6976294,0.6976,4.7682701265766e-05
3150,0.69759,62,0,0.69769,0.6976236,0.69759,1.9774731350898374e-05
3200,0.69759,63,0,0.6978,0.6976276,0.69759,2.902137143554543e-05
3250,0.69759,64,0,0.69798,0.6976360000000003,0.6976,6.190315016217617e-05
3300,0.69759,65,0,0.69942,0.6976653999999999,0.69759,0.00025426136159472474
3350,0.69759,66,0,0.70012,0.6976750000000002,0.6976,0.00035065224938676386
3400,0.69759,67,0,0.69809,0.6976293999999998,0.69759,6.718362895825258e-05
3450,0.69759,68,0,0.69846,0.6976413999999999,0.69759,0.00012155673572451388
3500,0.69759,69,0,0.71452,0.6979618,0.69759,0.002365652290595563
3550,0.69759,70,0,0.69809,0.6976317999999998,0.69759,7.662088488134571e-05
3600,0.69759,71,0,0.70132,0.697702,0.6976,0.0005188178871241916
3650,0.69759,72,0,0.69785,0.6976240000000001,0.69759,3.773592452822273e-05
3700,0.69759,73,0,0.69782,0.6976294,0.69759,3.460693572104165e-05
3750,0.69759,74,0,0.69778,0.6976292000000001,0.69759,3.2177010426699584e-05
